TicketID,ProductID,ProblemDescription
INC023,P23,Departmental network segments experiencing inconsistent connectivity and intermittent VLAN isolation. Users reporting inability to access cross-department resources while maintaining connectivity within their own department.
INC024,P24,Broadcast storm detected in access layer causing complete saturation of uplinks and widespread connectivity issues across campus network. Network monitoring showing extreme bandwidth utilization on multiple segments.
INC025,P25,Multiple secure services and websites showing certificate errors. Users unable to establish secure connections to critical applications. Web browsers displaying security warnings preventing access to company resources.
INC026,P26,Complete storage network outage affecting all virtualized workloads. Virtual machines experiencing disk I/O errors and application failures. Multiple critical business systems unavailable.
INC027,P27,"Link aggregation groups between core and distribution layer failing, causing asymmetric routing and inconsistent application connectivity. Users reporting varying application performance depending on network path selected."
INC028,P28,DNS resolution failures affecting internal application access. Inconsistent name resolution causing sporadic service availability issues. Some users able to access resources while others cannot reach the same targets.
INC029,P29,Internet gateway congestion causing severe performance degradation for all external-facing services and user internet access. Web browsing extremely slow and cloud application access timing out.
INC030,P30,Routing protocol convergence issues causing increased latency and intermittent packet loss across multiple network segments. Applications experiencing timeouts during network state changes.
INC031,P31,Security appliances incorrectly blocking legitimate traffic causing application failures and customer-facing service disruptions. Multiple business applications experiencing connectivity failures after recent security update.
INC032,P32,Voice services completely unavailable. Incoming and outgoing calls failing. UC platform reporting SIP trunk registration failures. Users unable to make or receive any calls through the corporate voice system.
INC033,P33,Video distribution services experiencing packet loss and stuttering playback. Corporate training videos and webcasts showing poor quality and frequent buffering. Users reporting inconsistent viewing experience.
INC034,P34,Data center top-of-rack switches failing causing VM connectivity loss. Multiple server racks reporting network unavailable. Critical production workloads offline.
INC035,P35,Complete loss of internet connectivity affecting all locations. External resources unreachable and remote users unable to connect to corporate network. All internet-dependent services unavailable.
INC036,P36,WAN connectivity issues between headquarters and branch locations. MPLS service reporting path unavailability. Business applications timing out for branch users.
INC037,P37,"Voice quality issues reported across multiple locations. Users experiencing call drops, one-way audio, and excessive jitter. Customer complaints increasing due to poor call quality."
INC038,P38,Multiple users unable to connect to network resources. Authentication failures occurring across wired and wireless networks. Security logs showing device authentication errors.
INC039,P39,Critical network links between data centers failing despite redundant connections. Applications experiencing timeouts and database replication errors. Disaster recovery capabilities compromised.
INC040,P40,Authentication systems rejecting valid user credentials with time-related errors. Kerberos authentication failing with clock skew errors. Multiple applications experiencing access issues.
INC041,P41,Network management system showing devices offline despite actual availability. Intermittent device failures and reboots occurring after firmware upgrade. Configuration changes not applying correctly.
INC042,P42,Real-time applications experiencing excessive jitter and packet loss. Voice and video quality degraded below acceptable levels. Business impact increasing with customer complaints.
INC043,P43,Users reporting network connectivity issues with specific devices. IP address conflicts detected on multiple network segments. Intermittent connection drops occurring throughout the day.
INC044,P44,Web application performance degraded with inconsistent response times. Monitoring shows uneven load distribution across application servers. One server at 87% utilization while others below 20%.
INC045,P45,Network configuration changes applying inconsistently across infrastructure. Some devices receiving correct configuration while others remain in previous state. Service impact increasing with configuration drift.
INC046,P46,Network administrators unable to access equipment management interfaces. Critical configuration changes cannot be applied. Emergency access procedures not functioning.
INC047,P47,Wireless network outage affecting all corporate locations. Users unable to connect to WiFi. Guest and corporate networks both unavailable. Mobile device users completely disconnected.
INC048,P48,Network operations team not receiving critical alerts. Performance degradation undetected until user reports. Multiple incidents occurring without proactive notification.
INC049,P49,Users experiencing intermittent connectivity issues to IPv6-enabled applications. Connection timeouts occurring for large data transfers. Applications function normally over IPv4 but fail with IPv6.
INC050,P50,Multiple data center interconnect circuits reporting degraded optical power levels. Application performance degrading between sites. Backup circuits showing similar issues.
